S.No,Tender ID,Scraped At
1.,VARIUS WORK FROM 15FC GP VICHKHEDA ATL CHOPDA DIST JALGAON ,2026-04-22 06:40:19
2.,"Constructing Compound wall,Sushobhikaran to Mandir Parisar,Toilet Block and Kitchen Shed For Shri.Kshetra Sangameshwar Mandir at kudal Tal S.Solapur",2026-04-22 06:40:33
3.,"RESTORATION And CONSERVATION WORK FOR PAROLA FORT, PAROLA, DIST. JALGAON (PHASE II)",2026-04-22 06:40:47
4.,"Improvement Road in Khol Panand Road Primicess At Satana Tal, Baglan, Dist,Nashik ",2026-04-22 06:41:00
5.,"RESTORATION And CONSERVATION WORK FOR DHARMAVEERGAD, PEDGAON, AHILYANAGAR",2026-04-22 06:41:21
6.,DG - TARAPUR INDUSTRIAL AREA..M and R to W.s.s...AMC for Providing under water services for cleaning of pumps strainers and replacement MS intake mesh of Jackwell at Tarapur Indl Area.,2026-04-22 06:41:36
7.,PROPOSED NEW CONSTRUCTION OF STAFF QTR TYPE III AT PHC TADGAON TAH. BHAMRAGAD DIST. GADCHIROLI.,2026-04-22 06:41:49
8.,provide guidance for engineering and medical entrance exams under the IIT-JEE-NEET competitive exam training program,2026-04-22 06:42:06
9.,"Construction of Minor Bridge on Hattur To Anand Nagar L. Tanda V.R.-190 Ch.No.-3/600 to 3/800,Taluka-South Solapur Dist.Solapur",2026-04-22 06:42:21
10.,PROPOSED NEW CONSTRUCTION OF STAFF QTR TYPE II AT PHC TADGAON TAH.BHAMRAGAD DIST. GADCHIROLI,2026-04-22 06:42:36
