S.No,Published Date,Bid Closing Date,Tender Opening Date,Title,Etender Ref,Tender ID,Organisation Chain,Tender Value (INR),Page,Scraped At
1,21-04-2026 18:55,27-04-2026 18:55,28-04-2026 18:55,VARIUS WORK FROM 15FC GP VICHKHEDA ATL CHOPDA DIST JALGAON 2026/04/clubtender,,2026_JALGA_1297026_1,RDD-CEO-JALGAON||JALGAON-Dy. CEO V.P.||CHOPDA||VICHKHEDE,NA,1,21-04-2026 19:09
2,21-04-2026 18:55,16-05-2026 18:55,18-05-2026 17:00,"Constructing Compound wall,Sushobhikaran to Mandir Parisar,Toilet Block and Kitchen Shed For Shri.Kshetra Sangameshwar Mandir at kudal Tal S.Solapur Constructing Compound wall,Sushobhikaran to Mandir Parisar,Toilet Block and Kitchen Shed For Shri.Ks",,2026_SOLAP_1297037_1,RDD-CEO-SOLAPUR||SOLAPUR-WORKS DIV.,"1,45,50,826",1,21-04-2026 19:09
3,21-04-2026 18:55,30-04-2026 17:30,04-05-2026 10:30,"RESTORATION And CONSERVATION WORK FOR PAROLA FORT, PAROLA, DIST. JALGAON (PHASE II) 01 / 2026_27",,2026_TCADM_1296977_1,Tourism and Cultural Affairs Dept. Maharashtra||Directorate of Archaeology and Museums||Astt Director Department of Archaeology Nashik,"2,42,74,197",1,21-04-2026 19:09
4,21-04-2026 18:55,28-04-2026 18:00,30-04-2026 11:00,"Improvement Road in Khol Panand Road Primicess At Satana Tal, Baglan, Dist,Nashik STN/2/2026",,2026_DMA_1297048_1,"Directorate Of Municipal Administration||Municipal Administration, Nashik||Municipal Council Satana","31,90,845",1,21-04-2026 19:09
5,21-04-2026 18:55,30-04-2026 17:30,04-05-2026 10:30,"RESTORATION And CONSERVATION WORK FOR DHARMAVEERGAD, PEDGAON, AHILYANAGAR 01 / 2026_27",,2026_TCADM_1296977_2,Tourism and Cultural Affairs Dept. Maharashtra||Directorate of Archaeology and Museums||Astt Director Department of Archaeology Nashik,"3,71,43,126",1,21-04-2026 19:09
6,21-04-2026 18:55,05-05-2026 17:00,07-05-2026 12:00,"DG - TARAPUR INDUSTRIAL AREA..M and R to W.s.s...AMC for Providing under water services for cleaning of pumps strainers and replacement MS intake mesh of Jackwell at Tarapur Indl Area. MIDC_AMC for Providing under water services for cleaning of pumps strainers_EC_38,67,987",,2026_MIDC_1297057_1,Maharashtra Industrial Development Corporation||Chief Engineer (HQ) Mumbai Zone||Superintending Engineer Mumbai||Division No.1 Thane,"38,67,987",1,21-04-2026 19:09
7,21-04-2026 18:35,28-04-2026 12:00,29-04-2026 12:00,PROPOSED NEW CONSTRUCTION OF STAFF QTR TYPE III AT PHC TADGAON TAH. BHAMRAGAD DIST. GADCHIROLI. 01/2026-27,,2026_GADCH_1297047_1,RDD-CEO-GADCHIROLI||GADCHIROLI-HEALTH DEPT.,"93,45,644",1,21-04-2026 19:09
8,21-04-2026 18:30,06-05-2026 18:30,08-05-2026 10:30,provide guidance for engineering and medical entrance exams under the IIT-JEE-NEET competitive exam training program Innovative3071-09/04/2026-QCBS,,2026_CTDN_1296010_1,"Commissioner of Tribal Development, Nashik||Additional Tribal Commissioner, Nashik||Integrated Tribal Development Project Nandurbar","1,00,00,000",1,21-04-2026 19:09
9,21-04-2026 18:30,16-05-2026 18:30,18-05-2026 17:00,"Construction of Minor Bridge on Hattur To Anand Nagar L. Tanda V.R.-190 Ch.No.-3/600 to 3/800,Taluka-South Solapur Dist.Solapur Construction of Minor Bridge on Hattur To Anand Nagar L. Tanda V.R.-190 Ch.No.-3/600 to 3/800,Taluka",,2026_SOLAP_1297012_1,RDD-CEO-SOLAPUR||SOLAPUR-WORKS DIV.,"1,88,23,203",1,21-04-2026 19:09
10,21-04-2026 18:30,28-04-2026 12:00,29-04-2026 12:00,PROPOSED NEW CONSTRUCTION OF STAFF QTR TYPE II AT PHC TADGAON TAH.BHAMRAGAD DIST. GADCHIROLI 01/2026-27,,2026_GADCH_1297023_1,RDD-CEO-GADCHIROLI||GADCHIROLI-HEALTH DEPT.,"1,00,49,247",1,21-04-2026 19:09
11,21-04-2026 18:30,28-04-2026 12:00,29-04-2026 12:00,"NEW CONSTRUCTION OF STAFF QUARTERS AT PHC JARAWANDI, TAL.ETAPALLI DIST. GADCHIROLI 01/2026-27",,2026_GADCH_1297035_1,RDD-CEO-GADCHIROLI||GADCHIROLI-HEALTH DEPT.,"49,71,343",2,21-04-2026 19:09
12,21-04-2026 18:30,29-04-2026 17:00,30-04-2026 17:00,S.T.B.T. to Maharashtra Sawmil to JMC School Road for Jawhar Municipal Council Area Taluka Jawhar District Palghar Ow/E-Notice/757/2026-27-11,,2026_DMA_1297040_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,NA,2,21-04-2026 19:09
